# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	E_total (J)	E_anis (J)	E_demag (J)	E_exch (J)	E_Zeeman (J)	ext_topologicalcharge ()	Temp (K)	LastErr ()
8.500203905919363e-10	-0.0016427813	-0.009603589	0.7711556	0	0	0.25	4.9336276e-16	-4.068269e-16	4.398207e-16	6.615832e-16	-2.0215382e-16	-7.644749	750	4.7855465e-06
8.600488199271431e-10	0.0013821049	-0.010680469	0.77088135	0	0	0.25	5.003793e-16	-4.0684125e-16	4.3963334e-16	6.665073e-16	-2.020819e-16	-7.7957335	750	3.6637466e-06
8.700753535534144e-10	0.0059114117	-0.00735482	0.76987004	0	0	0.25	4.954828e-16	-4.0585568e-16	4.387511e-16	6.689302e-16	-2.0181682e-16	-4.5890446	750	3.2531532e-06
8.801359604499636e-10	0.003853945	-0.0057289344	0.7711657	0	0	0.25	4.8957896e-16	-4.0640662e-16	4.3934056e-16	6.627516e-16	-2.0215647e-16	-6.9829874	750	3.536217e-06
8.901020045874154e-10	0.004366873	-0.0020174712	0.7721153	0	0	0.25	5.0212394e-16	-4.0723385e-16	4.4029196e-16	6.6294e-16	-2.0240542e-16	-5.129427	750	5.4378265e-06
9.000862656629058e-10	0.0053452197	-0.0005297003	0.77234644	0	0	0.25	4.9779443e-16	-4.0693064e-16	4.3987382e-16	6.635333e-16	-2.0246601e-16	-7.3151813	750	4.4767226e-06
9.100121073208357e-10	0.007740421	0.0008192966	0.77265066	0	0	0.25	5.0944564e-16	-4.0764144e-16	4.4066683e-16	6.6362575e-16	-2.0254575e-16	-6.334352	750	1.5637486e-06
9.200775207363389e-10	0.006328076	0.0049992744	0.7719115	0	0	0.25	5.009224e-16	-4.072706e-16	4.4030954e-16	6.654224e-16	-2.0235196e-16	-7.0195346	750	3.8227345e-06
9.300809889117158e-10	0.0063551003	0.005993922	0.77392757	0	0	0.25	4.836041e-16	-4.0892943e-16	4.418849e-16	6.592523e-16	-2.0288048e-16	-5.659741	750	3.758167e-06
9.401316911013726e-10	0.0036221603	0.007416223	0.77220577	0	0	0.25	4.8606255e-16	-4.0733312e-16	4.4031753e-16	6.6217605e-16	-2.0242911e-16	-6.9050236	750	2.5514773e-06
9.50074628472845e-10	0.0030022874	0.007358289	0.7721022	0	0	0.25	4.9053e-16	-4.072046e-16	4.401673e-16	6.638917e-16	-2.0240192e-16	-5.4510493	750	3.0792448e-06
9.600782383400424e-10	0.0011719427	0.009179376	0.77099407	0	0	0.25	4.9397167e-16	-4.0669644e-16	4.3961682e-16	6.6380124e-16	-2.0211148e-16	-6.733659	750	3.196065e-06
9.700805786057355e-10	0.0003589123	0.0070318757	0.77062815	0	0	0.25	5.0304085e-16	-4.0682127e-16	4.3968167e-16	6.6426007e-16	-2.0201556e-16	-5.745737	750	2.4022356e-06
9.80043297707101e-10	-0.0034378227	0.008654706	0.7704948	0	0	0.25	4.814245e-16	-4.0614695e-16	4.3908944e-16	6.66703e-16	-2.0198059e-16	-6.2395177	750	3.8025073e-06
9.901519584894623e-10	-0.00440122	0.0068586413	0.77197367	0	0	0.25	4.908408e-16	-4.0722308e-16	4.4024527e-16	6.649518e-16	-2.0236824e-16	-7.752991	750	3.4919474e-06
1.0000640681494757e-09	-0.007631261	0.005567403	0.772361	0	0	0.24999999	5.050197e-16	-4.0706593e-16	4.401316e-16	6.619559e-16	-2.0246975e-16	-5.965064	750	1.7777711e-07
1.0101036996794375e-09	-0.007940917	0.006588698	0.77261496	0	0	0.24998996	4.647941e-16	-4.0730516e-16	4.4019254e-16	6.5864086e-16	-2.0252817e-16	-7.781581	750	2.8738873e-06
1.020009612966719e-09	-0.008956407	0.0026541613	0.7726018	0	0	0.24997999	4.9203053e-16	-4.0737637e-16	4.403993e-16	6.623421e-16	-2.0251672e-16	-5.8200555	750	2.4892486e-06
1.0300965064034637e-09	-0.008734981	0.0027375603	0.77218646	0	0	0.24996994	5.1213174e-16	-4.0728123e-16	4.4022613e-16	6.6334374e-16	-2.0239967e-16	-4.622616	750	4.1292087e-06
1.040047438620415e-09	-0.008469356	0.0010406545	0.7728979	0	0	0.24995995	5.0733965e-16	-4.0765925e-16	4.406769e-16	6.632314e-16	-2.025781e-16	-5.0125947	750	5.128944e-06
1.0501081190754636e-09	-0.0057581076	-0.002785033	0.7736827	0	0	0.24994992	5.0161476e-16	-4.0849903e-16	4.4146063e-16	6.6113817e-16	-2.0277562e-16	-6.5591683	750	2.863753e-06
1.060120028995999e-09	-0.0047218855	-0.0034638434	0.77441806	0	0	0.2499399	5.0316335e-16	-4.0892292e-16	4.4192898e-16	6.611547e-16	-2.0296024e-16	-9.338461	750	3.1017978e-06
1.0700967820589355e-09	-0.007588841	-0.0050087357	0.7740255	0	0	0.2499299	4.8514087e-16	-4.0833547e-16	4.4138516e-16	6.608817e-16	-2.0284925e-16	-9.673709	750	2.6878072e-06
